序号,提交答卷时间,所用时间,来源,来源详情,来自IP,总分,User ID,Case,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system,Mental DemandHow mentally demanding was the task?,Physical DemandHow physically demanding was the task?,Temporal DemandHow hurried or rushed was the pace of the task?,PerformanceHow successful were you in accomplishing what you were asked to do? ,EffortHow hard did you have to work to accomplish your level of performance? ,"FrustrationHow insecure, discouraged, irritated, stressed,and annoyed were you?",How do you measure perceived exertion of effort during using this system?,General discomfort,Fatigue,Headache,Eye strain,Difficulty focusing,Increased salivation,Sweating,Nausea,Difficulty concentrating,Blurred vision,Dizzy (eyes open),Dizzy (eyes closed),Vertigo,Stomach awareness,Burping
1,2026/3/16 18:47:23,150秒,链接,直接访问,110.65.147.238(广东-深圳),58,1,1,4,1,4,1,2,1,4,1,4,1,1,7,2,21,2,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2026/3/16 18:48:50,76秒,链接,直接访问,110.65.147.238(广东-深圳),56,1,2,5,1,4,1,5,1,5,1,5,1,1,2,1,21,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2026/3/17 10:43:53,285秒,链接,直接访问,110.65.147.238(广东-深圳),91,2,2,3,4,2,2,3,4,4,4,3,2,6,7,7,17,15,7,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
5,2026/3/17 10:52:18,131秒,链接,直接访问,110.65.147.238(广东-深圳),75,2,1,5,1,5,1,4,1,5,1,4,1,2,9,2,19,11,3,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2026/3/17 13:26:00,393秒,链接,直接访问,110.65.147.238(广东-深圳),101,3,1,4,1,4,1,4,1,5,2,4,1,3,19,3,19,19,8,3,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1
7,2026/3/17 13:33:48,103秒,链接,直接访问,110.65.147.238(广东-深圳),91,3,2,2,4,4,2,4,5,4,2,4,2,2,8,4,9,17,15,5,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1
8,2026/3/17 14:45:12,172秒,链接,直接访问,110.65.147.238(广东-深圳),57,4,2,5,1,4,1,4,1,5,1,4,1,2,2,2,17,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
9,2026/3/17 14:55:37,147秒,链接,直接访问,110.65.147.238(广东-深圳),50,4,1,2,2,3,2,2,3,2,3,2,1,6,2,2,6,8,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
10,2026/3/17 15:25:27,168秒,链接,直接访问,110.65.147.238(广东-深圳),70,5,1,4,2,4,2,4,2,4,2,4,2,4,6,3,17,7,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,2026/3/17 15:36:29,109秒,链接,直接访问,110.65.147.238(广东-深圳),70,5,2,4,4,4,3,5,2,4,2,4,3,3,4,3,16,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
